section,key,value1,value2,value3,value4
META,title,Pencils and Pens,,,
META,unitNumber,03,,,
META,subject,영어,,,
META,category,Thoughts and Notions,,,
META,bookType,thoughts_notions,,,
META,previewQuestion,,,,
META,passageTitle,Pencils and Pens,,,
META,vocabPreviewInstruction,,,,
PARAGRAPH,,"No one knows who invented pencils or when it happened. A Swiss described a pencil in a book in 1565. He said it was a piece of wood with **lead** inside it. (Lead is a very heavy, soft, dark gray metal.) Pencils weren't popular, and people continued to write with pens. They used bird feathers as pens.",,,
PARAGRAPH,,"Then, in 1795, someone started making pencils from **graphite**, and they became very popular. Graphite is like coal. (Coal is black, and we burn it for heat and energy.) Today, people make pencils in the same way. They **grind** the graphite, make it into the **shape** of a stick, and bake it. Then they put it inside a piece of wood. One pencil can write 50,000 English words or make a line 55 kilometers long.",,,
PARAGRAPH,,"People wrote with feather pens and then used pens with metal **points**. They had to **dip** the point into ink after every few letters. Next, someone invented a **fountain pen** that could **hold** ink inside it. A fountain pen can write several pages before you have to **fill** it again.",fountain pen,,
PARAGRAPH,,"Two Hungarian brothers, Ladislao and Georg Biro, invented the **ballpoint pen**. They left Hungary and started making ballpoint pens in England in 1943, during World War II. English pilots liked the pens. They couldn't write with fountain pens in airplanes because the ink **leaked** out. Later, a French company called Bic bought the Biros' company.",ballpoint pen,,
PARAGRAPH,,"Some people call ballpoint pens ""Bics."" Australians call them ""biros."" **Whatever** we call them, we use them every day.",leak,,
QUESTION_COMPLETE,wordBank,ballpoint pen|points|lead|leaked|graphite|shape|grind|dip|whatever|fountain pen|hold|ink|fill,,,
QUESTION_COMPLETE,,They couldn't write with fountain pens in airplanes because the ink ___ out.,leaked,,
QUESTION_COMPLETE,,A fountain pen can write several pages before you have to ___ it again.,fill,,
QUESTION_COMPLETE,,He said it was a piece of wood with ___ inside it.,lead,,
QUESTION_COMPLETE,,People wrote with feather pens and then used pens with metal ___.,points,,
QUESTION_COMPLETE,,Next someone invented a ___ that could ___ ink inside it.,fountain pen|hold,,
QUESTION_COMPLETE,,They had to ___ the point into ___ after every few letters.,dip|ink,,
QUESTION_COMPLETE,,"They ___ the graphite, make it into the ___ of a stick, and bake it.",grind|shape,,
QUESTION_COMPLETE,,"Two Hungarian brothers, Ladislao and Georg Biro, invented the ___.",ballpoint pen,,
