section,key,value1,value2,value3,value4
META,title,A World of Trade,,,
META,unitNumber,03,,,
META,subject,영어,,,
META,category,American Textbook,,,
META,bookType,american_textbook,,,
META,previewQuestion,"What does it mean to live in a globalized world, and how does trade connect countries?",,,
META,passageTitle,A World of Trade,,,
META,vocabPreviewInstruction,Write the correct word next to its meaning.,,,
PREVIEW_CARD,,A cargo ship carries huge containers full of goods that are traded between countries all around the world.,,,
PREVIEW_CARD,,"The United States exports cars, smartphones, and computers to the Republic of Korea.",,,
PREVIEW_CARD,,"The Republic of Korea exports coffee, corn, and beef to the United States.",,,
VOCAB_PREVIEW,,tariff,a tax that a government collects on goods brought in from another country,,
VOCAB_PREVIEW,,globalized,connected to and involved with other countries and areas all around the world,,
VOCAB_PREVIEW,,collect,to receive or gather money that is owed (such as a tax),,
VOCAB_PREVIEW,,import,to bring in goods from another country to sell,,
VOCAB_PREVIEW,,in contact with,communicating or connected with someone or something,,
VOCAB_PREVIEW,,export,to send goods to another country to sell,,
PARAGRAPH,,"We live in a **globalized** world. This means that every area on the planet is **in contact with** every other area. One way that people contact each other is through trade. Trade is the buying and selling of goods and services.",,,
PARAGRAPH,,"Trade between different countries is called international trade. Many companies try to sell their goods all around the world. When they send their goods to another country, they are **exporting** them. Many companies buy resources and other products from other countries as well. When they bring in goods from another country, they are **importing** them. Most countries try to export more than they import.",,,
PARAGRAPH,,"Many times, when goods are imported, the buyer must pay a **tariff**. A tariff is a tax that a government **collects** on imported goods.",,,
QUESTION_MC,,main_idea,What is the main idea of the passage?,Countries want to export more goods than they import.|Free trade is welcome by the world.|People buy and sell goods and services all over the world.,2
QUESTION_MC,,multiple_choice,___ is a tax on imported goods.,An import|An export|A tariff,2
QUESTION_MC,,multiple_choice,What is trade?,Trade is the buying and selling of goods and services.|Trade is the producing and buying of goods and services.|Trade means paying taxes on imported goods.,0
QUESTION_MC,,vocabulary,What does collect mean?,win|levy|assess,1
QUESTION_COMPLETE,,Trade is the buying and ___ of goods and services.,selling,,
QUESTION_COMPLETE,,International trade is trade between different ___.,countries,,
QUESTION_COMPLETE,,To import means to ___ goods from other countries.,buy,,
QUESTION_COMPLETE,,A tariff is a(n) ___ on imported goods.,tax,,
QUESTION_COMPLETE,wordBank,export|import,,,
QUESTION_COMPLETE,,To sell goods and resources to other countries is to ___.,export,,
QUESTION_COMPLETE,,To buy goods and resources from other countries is to ___.,import,,
DIRECT_READING,,We live in a globalized world.,우리는 세계화된 세상에 살고 있다.,We live|in a globalized world.,
DIRECT_READING,,This means that every area on the planet is in contact with every other area.,"이것은 지구상의 모든 지역이 다른 모든 지역과 연결되어 있다는 것을 의미한다.","This means|that every area on the planet|is in contact with|every other area.","[{""type"":""명사절"",""label"":""that every area ~"",""description"":""means 뒤 that절은 목적어(명사절)를 이끈다: ~라는 것을 의미하다"",""highlight"":""that every area on the planet is in contact with every other area""}]"
