section,key,value1,value2,value3,value4
META,bookType,reading_explore,,,
META,title,Understanding Dreams,,,
META,unitNumber,7A,,,
META,subject,영어,,,
META,category,Reading Explorer,,,
META,previewQuestion,Did you have any interesting dreams last night?,,,
META,passageTitle,Understanding Dreams,,,
META,vocabPreviewInstruction,Write the correct word next to its meaning.,,,
RE_HEADLINE,,"UNDERSTANDING","DREAMS",,
RE_INTRO,,Did you have any interesting dreams last night?,,,
RE_PARAGRAPH,A,"Our dreams come from a part of the brain that contains our thoughts and ==memories==. A person can have up to six dreams a night. Each one usually ==lasts== from 10 to 40 minutes. Everyone dreams, but not everyone remembers their dreams. Most people dream in color, usually with sound. And we usually dream about ourselves and the people we know.",,,
RE_SUBHEAD,afterA,Why Do We Dream?,,,
RE_PARAGRAPH,B,"Alan Siegel is a scientist who studies dreams. ""[Dreams] can tell us a lot about ourselves,"" he says, ""and can help us figure out ==problems==."" Another scientist, Robert Stickgold, thinks dreams come from our memories. Stickgold says that dreaming about past events is ==useful== because it helps us learn from them.",A volunteer at a dream research center,,
RE_SUBHEAD,afterB,"Here are a few types of dreams and what people think they mean.",,,
RE_SUBHEAD,afterB,"Dream 1: You Meet Someone While in Your Pajamas",,,
RE_PARAGRAPH,C,"This dream may be the ==result== of an embarrassing¹ event in your life. Some people think we dream about embarrassing situations if our brains are trying to deal with² an event in our own lives.",,,
RE_SUBHEAD,afterC,"Dream 2: You're Flying",,,
RE_PARAGRAPH,D,"If you dream about flying, you are probably quite happy. This is a good ==period== in your life. You may feel that other people see you as a leader.",,,
RE_SUBHEAD,afterD,"Dream 3: You Didn't Study for a Test",,,
RE_PARAGRAPH,E,"This probably means you are ==worried== about an important future event. If you haven't ==prepared== for it, your dream may be telling you, ""It's time to get to work!""",,,
RE_FOOTNOTE,1,"If something is embarrassing, it makes you feel bad about yourself.",,,
RE_FOOTNOTE,2,"If you deal with a problem, you try to do something about it.",,,
RE_MCQ,MAIN IDEA,What is the main idea of the reading?,Dreams mainly come from one part of the brain.|Everyone has dreams, but not everyone remembers them.|We can learn a lot from the types of dreams we have.,2
RE_MCQ,DETAIL,Which of these sentences about dreams is NOT true?,Dreams usually include sounds.|Dreams are usually between 10 and 40 minutes long.|Most people's dreams are in black and white.,2
RE_MCQ,VOCABULARY,"In paragraph B, what does figure out mean?",understand|remember|experience,0
RE_MCQ,DETAIL,Robert Stickgold believes that dreams ___.,can tell us about our future|happen more often when we're unhappy|are made from our memories,2
RE_MCQ,INFERENCE,"According to the passage, which of these sentences is true?","If you dream you're wearing pajamas, something embarrassing probably happened to you.|If you dream you're flying, this is probably a difficult time in your life.|If you dream you didn't study for a test, you're probably not getting enough sleep at night.",0
RE_MATCHING,APPLYING IDEAS,"Read the statements (1-4). Which dream from the reading might each person have? Match each statement to a dream (a-c).",,,
RE_MATCHING_CHOICE,a,You dream that you meet someone while in your pajamas.,,,
RE_MATCHING_CHOICE,b,You dream of flying.,,,
RE_MATCHING_CHOICE,c,You dream that you didn't study for a test.,,,
RE_MATCHING_ITEM,1,"Everyone at work says that I'm doing a great job.",b,,
RE_MATCHING_ITEM,2,"The concert is tomorrow, and I haven't had time to practice!",c,,
RE_MATCHING_ITEM,3,I scored three goals for my soccer team last weekend.,b,,
RE_MATCHING_ITEM,4,They laughed at me because I had my shirt on backwards.,a,,
RE_SKILL_TITLE,,Organizing Information (1)—Creating a Concept Map,,,
