section,key,value1,value2,value3,value4
META,hskLevel,3,,,
META,unitNumber,01,,,
META,title,我的一天,,,
META,titlePinyin,Wǒ de yì tiān,,,
META,titleKorean,나의 하루,,,
META,category,HSK 3급 · 일상 회화,,,
META,previewQuestion,당신의 하루 일과를 중국어로 어떻게 표현할까요?,,,
META,passageTitle,我的一天,,,
META,passageTitlePinyin,Wǒ de yì tiān,,,
META,passageTitleKorean,나의 하루,,,
PREVIEW_CARD,,早上七点起床,,,
PREVIEW_CARD,,上午在学校学习,,,
PREVIEW_CARD,,晚上跟家人一起吃饭,,,
VOCAB,,起床,qǐchuáng,일어나다,동사
VOCAB,,刷牙,shuāyá,이를 닦다,동사
VOCAB,,洗脸,xǐliǎn,세수하다,동사
VOCAB,,然后,ránhòu,그런 다음,접속사
VOCAB,,公共汽车,gōnggòng qìchē,버스,명사
VOCAB,,食堂,shítáng,식당,명사
VOCAB,,放学,fàngxué,하교하다,동사
VOCAB,,常常,chángcháng,자주,부사
VOCAB,,作业,zuòyè,숙제,명사
VOCAB,,睡觉,shuìjiào,잠자다,동사
VOCAB_EXAMPLE,起床,我每天早上七点起床。,Wǒ měi tiān zǎoshang qī diǎn qǐchuáng.,저는 매일 아침 7시에 일어납니다.,
VOCAB_EXAMPLE,食堂,中午在学校的食堂吃午饭。,Zhōngwǔ zài xuéxiào de shítáng chī wǔfàn.,정오에는 학교 식당에서 점심을 먹습니다.,
PASSAGE,,"我每天早上七点起床。起床以后我先刷牙，洗脸，然后吃早饭。","Wǒ měi tiān zǎoshang qī diǎn qǐchuáng. Qǐchuáng yǐhòu wǒ xiān shuāyá, xǐliǎn, ránhòu chī zǎofàn.","저는 매일 아침 7시에 일어납니다. 일어난 후에 먼저 이를 닦고, 세수를 하고, 그런 다음 아침을 먹습니다.",
PASSAGE,,"早饭以后我坐公共汽车去学校。我在学校学习汉语和数学。中午在学校的食堂吃午饭。","Zǎofàn yǐhòu wǒ zuò gōnggòng qìchē qù xuéxiào. Wǒ zài xuéxiào xuéxí Hànyǔ hé shùxué. Zhōngwǔ zài xuéxiào de shítáng chī wǔfàn.","아침 식사 후에 저는 버스를 타고 학교에 갑니다. 학교에서 중국어와 수학을 공부합니다. 정오에는 학교 식당에서 점심을 먹습니다.",
PASSAGE,,"下午四点放学以后，我常常跟朋友一起打篮球。晚上做作业，看书，然后十点睡觉。","Xiàwǔ sì diǎn fàngxué yǐhòu, wǒ chángcháng gēn péngyou yìqǐ dǎ lánqiú. Wǎnshang zuò zuòyè, kànshū, ránhòu shí diǎn shuìjiào.","오후 4시에 하교한 후에는 자주 친구와 함께 농구를 합니다. 저녁에는 숙제를 하고 책을 읽고, 그 다음 10시에 잠을 잡니다.",
QUESTION_MCQ,我每天早上几点起床？,六点,七点,八点,九点
QUESTION_ANSWER,1,,,,
QUESTION_EXPLAIN,본문 첫 문장 「我每天早上七点起床」 에서 7시.,,,,
QUESTION_FILL,早饭以后我坐 ___ 去学校。,公共汽车,,,
QUESTION_EXPLAIN,본문 「坐公共汽车去学校」 참고.,,,,
QUESTION_TRANSZK,晚上做作业，看书，然后十点睡觉。,"저녁에는 숙제를 하고 책을 읽고, 그 다음 10시에 잠을 잡니다.",,,
QUESTION_TONE,「起床」 의 성조 조합은?,1성+3성,3성+2성,3성+2성(변조),2성+3성
QUESTION_ANSWER,2,,,,
QUESTION_EXPLAIN,qǐ(3성) + chuáng(2성). 실제 회화에서는 반3성으로 발음되는 경우가 많음.,,,,
DIRECT_READING,,"我 / 每天 / 早上七点 / 起床。","Wǒ / měi tiān / zǎoshang qī diǎn / qǐchuáng.",나 / 매일 / 아침 7시에 / 일어난다.,시간 표현은 「时段 + 时刻」 순서.
